mapping_id,uaf_sector_id,sii_activity_code,sii_activity_name,original_equivalence_type,original_use,required_external_source,method_note
UAF-SII-026,24,691003,CONSERVADOR DE BIENES RAÍCES,DIRECTA,MATCH_FUERTE,Poder Judicial/UAF,La glosa SII identifica expresamente conservadores de bienes raíces.
UAF-SII-027,25,641990,OTROS TIPOS DE INTERMEDIACIÓN MONETARIA N.C.P.,PARCIAL,CANDIDATO,CMF/DAES/UAF,Intermediación monetaria distinta de bancos puede incluir cooperativas de ahorro y crédito; requiere verificación registral.
UAF-SII-028,25,649201,FINANCIERAS,AMPLIA,SOLO_PRESELECCION,CMF/DAES/UAF,Financieras es una categoría amplia y no específica de cooperativas.
UAF-SII-029,26,661209,OTROS SERVICIOS DE CORRETAJE DE VALORES Y COMMODITIES N.C.P.,PARCIAL,MATCH_FUERTE,CMF/UAF,"La glosa incluye corretaje de commodities, compatible con corredores de bolsas de productos."
UAF-SII-030,27,661202,CORREDORES DE BOLSA,DIRECTA,MATCH_FUERTE,CMF/UAF,La glosa SII identifica expresamente corredores de bolsa.
UAF-SII-031,28,682000,ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,PARCIAL,MATCH_FUERTE,UAF/registro comercial,"Actividades inmobiliarias por retribución o contrata es altamente compatible con corretaje, pero incluye otros servicios inmobiliarios."
UAF-SII-032,29,661902,ADMINISTRACIÓN DE TARJETAS DE CRÉDITO,DIRECTA,MATCH_FUERTE,CMF/UAF,La glosa identifica administración de tarjetas de crédito.
UAF-SII-033,29,649900,"OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO SEGUROS Y FONDOS DE PENSIONES N.C.P.",AMPLIA,SOLO_PRESELECCION,CMF/UAF,"Puede captar otros operadores de medios de pago, pero es demasiado amplia para inferir la categoría UAF por sí sola."
UAF-SII-034,30,649100,LEASING FINANCIERO,DIRECTA,MATCH_FUERTE,CMF/UAF,La glosa SII identifica expresamente leasing financiero.
UAF-SII-035,31,661909,OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS N.C.P.,AMPLIA,SOLO_PRESELECCION,CMF/UAF,No existe una glosa específica para depósitos de valores; confirmar entidad regida por Ley 18.876 en registros CMF.
UAF-SII-036,32,649900,"OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO SEGUROS Y FONDOS DE PENSIONES N.C.P.",PARCIAL,CANDIDATO,UAF/CMF/registro comercial,El clasificador vigente no conserva una glosa específica de factoring; servicios financieros n.c.p. es un candidato amplio.
UAF-SII-037,32,649201,FINANCIERAS,AMPLIA,SOLO_PRESELECCION,UAF/CMF/registro comercial,"Puede captar algunas empresas de factoraje que declaran actividad financiera, pero no es específico."
UAF-SII-038,33,661201,ACTIVIDADES DE SECURITIZADORAS,DIRECTA,MATCH_FUERTE,CMF/UAF,La glosa SII identifica expresamente securitizadoras.
UAF-SII-039,34,649900,"OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO SEGUROS Y FONDOS DE PENSIONES N.C.P.",PARCIAL,CANDIDATO,CMF/UAF,Servicios financieros n.c.p. puede comprender operadores de transferencia de dinero; requiere confirmación.
UAF-SII-040,34,661204,ACTIVIDADES DE CASAS DE CAMBIO Y OPERADORES DE DIVISA,PARCIAL,CANDIDATO,BCCh/UAF,Puede captar remesadoras que además operan divisas; no todas las transferencias de dinero corresponden a cambio de divisas.
UAF-SII-041,35,801002,SERVICIO DE TRANSPORTE DE VALORES EN VEHÍCULOS BLINDADOS,DIRECTA,MATCH_FUERTE,Autoridad de seguridad/UAF,La glosa SII identifica expresamente transporte de valores en vehículos blindados.
UAF-SII-042,36,681012,"COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES",PARCIAL,CANDIDATO,UAF/registro comercial,"Compra, venta y alquiler de inmuebles es compatible con gestión inmobiliaria, pero no equivalente de forma exclusiva."
UAF-SII-043,36,682000,ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,PARCIAL,MATCH_FUERTE,UAF/registro comercial,Servicios inmobiliarios por retribución o contrata son fuertemente compatibles con gestión inmobiliaria.
UAF-SII-044,37,661909,OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS N.C.P.,AMPLIA,SOLO_PRESELECCION,CMF/UAF,No hay ACTECO específico para custodia fintech; identificación legal debe venir del registro CMF.
UAF-SII-045,38,661209,OTROS SERVICIOS DE CORRETAJE DE VALORES Y COMMODITIES N.C.P.,PARCIAL,CANDIDATO,CMF/UAF,"Corretaje/intermediación financiera es compatible, pero la categoría Fintec debe confirmarse en CMF."
